rosbagTimestamp,desired_hall,fz,real_hall
1663573297510846380,0.0,-0.0,-0.00386357307434
1663573297512764460,0.0,-0.0,-0.00328326225281
1663573297514806280,0.0,-0.0,-0.00277543067932
1663573297516765569,0.0,-0.0,-0.00194239616394
1663573297518816924,0.0,-0.0,-0.00194239616394
1663573297520797111,0.0,-0.0,-0.00194239616394
1663573297522760705,0.0,-0.0,-0.00622010231018
1663573297524762359,0.0,-0.0,-0.000536203384399
1663573297526753457,0.0,-0.0,-0.00499367713928
1663573297528735007,0.0,-0.0,-0.00427269935608
1663573297530801032,0.0,-0.0,-0.0117294788361
1663573297532759230,0.0,-0.0,-0.0101702213287
1663573297534753342,0.0,-0.0,-0.0101702213287
1663573297536822488,0.0,-0.0,-0.0101702213287
1663573297538761166,0.0,-0.0,-0.00880551338196
1663573297540772049,0.0,-0.0,-0.00761008262634
1663573297542794559,0.0,-0.0,-0.00194573402405
1663573297544767145,0.0,-0.0,-0.00534892082214
1663573297546767070,0.0,-0.0,-0.00458359718323
1663573297548763910,0.0,-0.0,-0.00332713127136
1663573297550776622,0.0,-0.0,-0.00332713127136
1663573297552752742,0.0,-0.0,-0.00332713127136
1663573297554747742,0.0,-0.0,-0.00332713127136
1663573297556745444,0.0,-0.0,-0.00178694725037
1663573297558745293,0.0,-0.0,-0.00608468055725
1663573297560762613,0.0,-0.0,-0.0085117816925
1663573297562738230,0.0,-0.0,-0.00735306739807
1663573297564763140,0.0,-0.0,-0.00948166847229
1663573297566778239,0.0,-0.0,-0.00948166847229
1663573297568745885,0.0,-0.0,-0.00948166847229
1663573297570847839,0.0,-0.0,-0.00948166847229
1663573297572789794,0.0,-0.0,-0.00708174705505
1663573297574801599,0.0,-0.0,-0.00148177146912
1663573297576865259,0.0,-0.0,-0.0011990070343
1663573297578800135,0.0,-0.0,0.00332045555115
1663573297580769850,0.0,-0.0,0.00300288200378
1663573297582751935,0.0,-0.0,0.00272583961487
1663573297584746389,0.0,-0.0,0.00272583961487
1663573297586749840,0.0,-0.0,0.00272583961487
1663573297588767830,0.0,-0.0,-0.00582337379456
1663573297590753509,0.0,-0.0,-0.00499892234802
1663573297592755356,0.0,-0.0,-0.00427746772766
1663573297594772482,0.0,-0.0,-0.00364565849304
1663573297596762111,0.0,-0.0,-0.0152685642242
1663573297598768296,0.0,-0.0,-0.0132706165314
1663573297600763390,0.0,-0.0,-0.0132706165314
1663573297602774547,0.0,-0.0,-0.0132706165314
1663573297604782450,0.0,-0.0,-0.0115206241608
1663573297606778004,0.0,-0.0,-0.0086452960968
1663573297608785563,0.0,-0.0,-0.0120708942413
1663573297610764781,0.0,-0.0,-0.00906777381897
1663573297612770957,0.0,-0.0,-0.0124399662018
1663573297614768434,0.0,-0.0,-0.0107929706573
1663573297616798771,0.0,-0.0,-0.0107929706573
1663573297618771928,0.0,-0.0,-0.0107929706573
1663573297620790820,0.0,-0.0,-0.00474143028259
1663573297622827403,0.0,-0.0,-0.00748562812805
1663573297624778162,0.0,-0.0,-0.00555109977722
1663573297626738930,0.0,-0.0,-0.0001380443573
1663573297628741079,0.0,-0.0,7.84397125244e-05
1663573297630744969,0.0,-0.0,7.84397125244e-05
1663573297632742784,0.0,-0.0,7.84397125244e-05
1663573297634756893,0.0,-0.0,7.84397125244e-05
1663573297636751978,0.0,-0.0,0.000166177749634
1663573297638746732,0.0,-0.0,0.000243425369263
1663573297640734613,0.0,-0.0,-0.00425410270691
1663573297642776005,0.0,-0.0,-0.00362515449524
1663573297644762462,0.0,-0.0,0.00145697593689
1663573297646808186,0.0,-0.0,0.00137305259705
1663573297648739335,0.0,-0.0,0.00137305259705
1663573297650760602,0.0,-0.0,0.00137305259705
1663573297652785659,0.0,-0.0,0.00129961967468
1663573297654781880,0.0,-0.0,0.00123476982117
1663573297656775920,0.0,-0.0,0.0011293888092
