rosbagTimestamp,desired_hall,fz,real_hall
1660055310996008211,6.0,-0.0,-8.56
1660055310996684862,6.0,-0.0647664666176,-4.47658210754
1660055310998737485,6.0,-0.0647664666176,-4.47658210754
1660055311000736973,6.0,-0.0540970116854,-4.47681051254
1660055311002755800,6.0,-0.0352269746363,-4.47701030731
1660055311004759415,6.0,-0.0422674380243,-4.47733789444
1660055311006757791,6.0,-0.0457454994321,-4.47747140884
1660055311008752503,6.0,-0.0414976887405,-4.47568088531
1660055311010758042,6.0,-0.0421979911625,-4.47831827164
1660055311012774283,6.0,-0.0621075443923,-4.47831827164
1660055311014769188,6.0,-0.076278783381,-4.47831827164
1660055311016773308,6.0,-0.0718227922916,-4.47832971573
1660055311018761447,6.0,-0.0611107647419,-4.47833925247
1660055311020779808,6.0,-0.0564591549337,-4.48036390305
1660055311022736250,6.0,-0.0480427853763,-4.48011928558
1660055311024747462,6.0,-0.0438825935125,-4.47971826553
1660055311026763180,6.0,-0.04011131078,-4.47955471039
1660055311028815117,6.0,-0.04745618999,-4.47955471039
1660055311030790646,6.0,-0.05762463063,-4.47955471039
1660055311032788688,6.0,-0.0758450031281,-4.47955471039
1660055311034827453,6.0,-0.0693765282631,-4.47928577423
1660055311036818694,6.0,-0.069166444242,-4.47687965393
1660055311038805572,6.0,-0.0646056905389,-4.47477298737
1660055311040802084,6.0,-0.0492311939597,-4.47562509537
1660055311042786684,6.0,-0.036529827863,-4.47367435455
1660055311044843743,6.0,-0.0436548106372,-4.47656446457
1660055311046809020,6.0,-0.043691188097,-4.47656446457
1660055311048823047,6.0,-0.0400452539325,-4.47656446457
1660055311050804912,6.0,-0.0428318679333,-4.47679477692
1660055311052813108,6.0,-0.0519216842949,-4.47717290878
1660055311054783685,6.0,-0.0448006875813,-4.47732692719
1660055311056793886,6.0,-0.0474981740117,-4.48188405991
1660055311058821275,6.0,-0.0630880147219,-4.47915464401
1660055311060819577,6.0,-0.0628093853593,-4.47906166077
1660055311062798354,6.0,-0.0450391918421,-4.47906166077
1660055311064806825,6.0,-0.0367392674088,-4.47906166077
1660055311066820016,6.0,-0.0344996824861,-4.47897964478
1660055311068904246,6.0,-0.0327982716262,-4.47884565353
1660055311070795319,6.0,-0.0403339266777,-4.47879081726
1660055311072787327,6.0,-0.0632089450955,-4.47874265671
1660055311074777194,6.0,-0.0684959292412,-4.47636800766
1660055311076787036,6.0,-0.0619405731559,-4.4766226387
1660055311078778031,6.0,-0.0649348646402,-4.4766226387
1660055311080771194,6.0,-0.0524453185499,-4.4766226387
1660055311082764871,6.0,-0.0374798774719,-4.47684579849
1660055311084795114,6.0,-0.0344556234777,-4.47474342346
1660055311086800881,6.0,-0.0401132181287,-4.47531515121
1660055311088787241,6.0,-0.0457642041147,-4.47570186615
1660055311090797060,6.0,-0.0519706495106,-4.4760399437
1660055311092805303,6.0,-0.07256911695,-4.47889190674
1660055311094792157,6.0,-0.069114997983,-4.47889190674
1660055311096781176,6.0,-0.0623120367527,-4.47889190674
1660055311098782519,6.0,-0.0694894939661,-4.47883087158
1660055311100808704,6.0,-0.0538771040738,-4.47877841949
1660055311102792874,6.0,-0.0430641882122,-4.47668176651
1660055311104813414,6.0,-0.0570129863918,-4.47689777374
1660055311106769348,6.0,-0.0588986352086,-4.47708612442
1660055311108764282,6.0,-0.0517076849937,-4.47725158691
1660055311110751854,6.0,-0.0513349026442,-4.47509866714
1660055311112754446,6.0,-0.0632996708155,-4.47509866714
1660055311114750356,6.0,-0.0691925808787,-4.47509866714
1660055311116760093,6.0,-0.0727007687092,-4.4758744812
1660055311118759337,6.0,-0.0649824738503,-4.47389322281
1660055311120764219,6.0,-0.0562947653234,-4.47466426849
1660055311122750350,6.0,-0.0527247525752,-4.47053342819
1660055311124873499,6.0,-0.0422425530851,-4.47238069534
1660055311126798668,6.0,-0.0376012548804,-4.47238069534
1660055311128767558,6.0,-0.0442600697279,-4.47238069534
1660055311130788896,6.0,-0.0600656829774,-4.47238069534
1660055311132794072,6.0,-0.0684258565307,-4.47379404068
1660055311134810058,6.0,-0.0745365023613,-4.47666841507
1660055311136847629,6.0,-0.0643412396312,-4.47908550262
1660055311138820735,6.0,-0.0646893009543,-4.48129611969
1660055311140811152,6.0,-0.0581420511007,-4.47861104965
1660055311142794208,6.0,-0.0580538101494,-4.47861104965
1660055311144799166,6.0,-0.053947634995,-4.47861104965
1660055311146790272,6.0,-0.0405705086887,-4.47861104965
1660055311148812276,6.0,-0.0351493693888,-4.47858530045
1660055311150801547,6.0,-0.0546213164926,-4.47624689102
1660055311152826679,6.0,-0.0771027728915,-4.47651678085
1660055311154795698,6.0,-0.0811104923487,-4.47675329208
1660055311156820986,6.0,-0.0716111734509,-4.47915035248
1660055311158804218,6.0,-0.0678120553493,-4.47905784607
1660055311160796884,6.0,-0.0519045554101,-4.47905784607
1660055311162783070,6.0,-0.0388697758317,-4.47905784607
1660055311164824713,6.0,-0.0520436093211,-4.48127132416
1660055311166834423,6.0,-0.0536180101335,-4.47428422928
1660055311168804685,6.0,-0.050799369812,-4.47480016708
1660055311170793540,6.0,-0.0403541997075,-4.47564559937
1660055311172801411,6.0,-0.062145549804,-4.4765802002
1660055311174786242,6.0,-0.0637421309948,-4.4765802002
1660055311176814995,6.0,-0.0553624108434,-4.4765802002
1660055311178796609,6.0,-0.0574752911925,-4.4765802002
1660055311180790493,6.0,-0.0485939458013,-4.47451120377
1660055311182787846,6.0,-0.0320927798748,-4.47743469238
1660055311184781541,6.0,-0.0346244238317,-4.47755628586
1660055311186774037,6.0,-0.0412042178214,-4.4754586792
1660055311188813742,6.0,-0.0381420329213,-4.47582727432
1660055311190851697,6.0,-0.0502027869225,-4.47615009308
1660055311192834755,6.0,-0.0703742951155,-4.47615009308
1660055311194838581,6.0,-0.0724593177438,-4.47615009308
1660055311196828392,6.0,-0.0728422626853,-4.47872882843
1660055311198797175,6.0,-0.0722637027502,-4.47868829727
1660055311200820500,6.0,-0.0643792003393,-4.47865348816
1660055311202795302,6.0,-0.05604506284,-4.47658639908
1660055311204779200,6.0,-0.0471976287663,-4.4768138504
1660055311206791678,6.0,-0.0430136471987,-4.47948366165
1660055311208764633,6.0,-0.0549827590585,-4.47948366165
1660055311210758196,6.0,-0.0670485347509,-4.47948366165
1660055311212785982,6.0,-0.0816439017653,-4.47948366165
1660055311214798943,6.0,-0.0710575133562,-4.47934871674
1660055311216794457,6.0,-0.0619049705565,-4.48142295837
1660055311218779859,6.0,-0.0703502297401,-4.47415643692
1660055311220802884,6.0,-0.0553116202354,-4.47468811035
1660055311222790662,6.0,-0.0426257178187,-4.47556024551
1660055311224773390,6.0,-0.0378242395818,-4.47821289063
1660055311226809457,6.0,-0.042784858495,-4.47821289063
1660055311228817128,6.0,-0.0542455613613,-4.47821289063
1660055311230786948,6.0,-0.0708979666233,-4.48055416107
1660055311232799236,6.0,-0.065240137279,-4.48258024216
1660055311234780648,6.0,-0.0618848651648,-4.48360925674
1660055311236809436,6.0,-0.0734352171421,-4.48295980453
1660055311238825858,6.0,-0.0757778286934,-4.48418622971
1660055311240807673,6.0,-0.0542425774038,-4.48418622971
1660055311242814416,6.0,-0.0397734157741,-4.48418622971
1660055311244846901,6.0,-0.044650722295,-4.48418622971
1660055311246768766,6.0,-0.0418455712497,-4.48283296585
1660055311248743947,6.0,-0.0392081290483,-4.48227983475
1660055311250826390,6.0,-0.0594099387527,-4.48337942123
1660055311252803356,6.0,-0.077171690762,-4.48221450806
