rosbagTimestamp,desired_hall,fz,real_hall
1663579229705477550,3.0,-0.0,-0.0044389629364
1663579229707251963,3.0,-0.0,-0.00486573219299
1663579229709354973,3.0,-0.0,-0.00523861885071
1663579229711246253,3.0,-0.0,-0.00218543052673
1663579229713287550,3.0,-0.0,0.0118331050873
1663579229715244102,3.0,-0.0,0.0118331050873
1663579229717355745,3.0,-0.0,0.0118331050873
1663579229719242232,3.0,-0.0,0.00936165809631
1663579229721247445,3.0,-0.0,0.00853959083557
1663579229723242708,3.0,-0.0,0.0101727581024
1663579229725233012,3.0,-0.0,0.00791016578674
1663579229727233012,3.0,-0.0,0.0111202335358
1663579229729386435,3.0,-0.0,0.0124329662323
1663579229731260575,3.0,-0.0,0.0124329662323
1663579229733294891,3.0,-0.0,0.0124329662323
1663579229735254033,3.0,-0.0,0.00988570213318
1663579229737261741,3.0,-0.0,0.0113514995575
1663579229739237393,3.0,-0.0,0.00683346748352
1663579229741232643,3.0,-0.0,0.00867835044861
1663579229743327489,3.0,-0.0,0.00660458564758
1663579229745417970,3.0,-0.0,0.00320664405823
1663579229747277150,3.0,-0.0,0.00320664405823
1663579229749235918,3.0,-0.0,0.00320664405823
1663579229751259269,3.0,-0.0,0.00550166130066
1663579229753389718,3.0,-0.0,0.000150594711304
1663579229755371076,3.0,-0.0,-0.000851240158081
1663579229757291276,3.0,-0.0,-0.00249346733093
1663579229759236417,3.0,-0.0,0.000506315231323
1663579229761360878,3.0,-0.0,-0.00420817375183
1663579229763261712,3.0,-0.0,-0.000996198654175
1663579229765266202,3.0,-0.0,-0.000996198654175
1663579229767274682,3.0,-0.0,-0.00185402870178
1663579229769226115,3.0,-0.0,-0.00260457038879
1663579229771242180,3.0,-0.0,-0.00326069831848
1663579229773253655,3.0,-0.0,-0.0043373966217
1663579229775267806,3.0,-0.0,-0.00477656364441
1663579229777332822,3.0,-0.0,-0.00183114051819
1663579229779251046,3.0,-0.0,-0.00183114051819
1663579229781286134,3.0,-0.0,-0.00183114051819
1663579229783240297,3.0,-0.0,-0.00183114051819
1663579229785232761,3.0,-0.0,-3.25107574461e-05
1663579229787247727,3.0,-0.0,0.00266352653503
1663579229789295709,3.0,-0.0,0.00502530097961
1663579229791289079,3.0,-0.0,0.00199976921082
1663579229793306364,3.0,-0.0,0.000765714645386
1663579229795296647,3.0,-0.0,-0.00031289100647
1663579229797294473,3.0,-0.0,-0.00031289100647
1663579229799293167,3.0,-0.0,-0.00031289100647
1663579229801265035,3.0,-0.0,0.00113097190857
1663579229803260025,3.0,-0.0,-0.000977602005005
1663579229805296342,3.0,-0.0,-0.0018378162384
1663579229807222933,3.0,-0.0,0.00042239189148
1663579229809208397,3.0,-0.0,-0.000613775253296
1663579229811253713,3.0,-0.0,-0.000613775253296
1663579229813281301,3.0,-0.0,-0.000613775253296
1663579229815257432,3.0,-0.0,-0.000613775253296
1663579229817226406,3.0,-0.0,0.00215378761292
1663579229819229670,3.0,-0.0,0.00302115440369
1663579229821248834,3.0,-0.0,0.00533858299255
1663579229823243640,3.0,-0.0,-0.00143441200256
1663579229825252527,3.0,-0.0,-0.00223740577698
1663579229827240955,3.0,-0.0,-0.00293978691101
1663579229829226929,3.0,-0.0,-0.00293978691101
1663579229831229991,3.0,-0.0,-0.00293978691101
1663579229833228957,3.0,-0.0,0.000115785598755
1663579229835235370,3.0,-0.0,-0.00175389289856
